Country,Shipping City
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algiers
Andorra,Andorra
Angola,Angola
Antigua and Barbuda ,Antigua and Barbuda 
Armenia,Armenia
Australia,Canberra
Austria,Vienna
Azerbaijan,Azerbaijan
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Brussels
Belize,Belize
Benin,Benin
Bhutan,Bhutan
Botswana,Botswana
Brunei,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Ottawa
Cape Verde,Cape Verde
Central African Republic,Central African Republic
Chad,Chad
China,Beijing
Comoros,Comoros
Costa Rica,Costa Rica
Cote d'Ivoire,Cote d'Ivoire
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Czech Republic,Prague
Democratic Republic of the Congo,Democratic Republic of the Congo
Denmark,Copenhagen
Djibouti,Djibouti
Dominican Republic,Dominican Republic
East Timor,East Timor
Egypt,Cairo
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Addis Ababa
Federated States of Micronesia,Federated States of Micronesia
Fiji,Fiji
Finland,Helsinki
Gabon,Gabon
Georgia,Georgia
Germany,Berlin
Ghana,Ghana
Greece,Greece
Greenland,Greenland
Grenada,Grenada
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Honduras,Honduras
Hungary,Budapest
Iceland,Iceland
India,New Delhi
Indonesia,Indonesia
Iran,Tehran
Iraq,Baghdad
Ireland,Ireland
Israel,Jerusalem
Italy,Rome
Jamaica,Jamaica
Japan,Tokyo
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Nairobi
Kiribati,Kiribati
Kyrgyzstan,Kyrgyzstan
Laos,Laos
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Tripoli
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
Macedonia,Macedonia
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Marshall Islands,Marshall Islands
Mauritania,Mauritania
Mauritius ,Mauritius 
Mexico,Mexico City
Moldova ,Moldova 
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Rabat
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
New Zealand,Wellington
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Abuja
North Korea,North Korea
Norway,Oslo
Oman,Oman
Pakistan,Pakistan
Palau,Palau
Panama,Panama
Papua New Guinea,Papua New Guinea
Philippines,Philippines
Poland,Warsaw
Portugal,Lisbon
Qatar,Doha
Republic of the Congo,Republic of the Congo
Romania,Romania
Russia,Moscow
Rwanda,Rwanda
Saint Kitts and Nevis ,Saint Kitts and Nevis 
Saint Lucia,Saint Lucia
Samoa ,Samoa 
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Riyadh
Senegal,Senegal
Serbia,Serbia
Seychelles ,Seychelles 
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,Pretoria
South Korea,Seoul
South Sudan,South Sudan
Spain,Madrid
Sudan,Khartoum
Swaziland,Swaziland
Sweden,Stockholm
Switzerland,Bern
Syria,Syria
Taiwan,Taiwan
Tajikistan,Tajikistan
Tanzania,Tanzania
Thailand,Thailand
The Bahamas,The Bahamas
Togo,Lomé
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia ,Tunisia 
Turkey,Ankara
Turkmenistan,Turkmenistan
Tuvalu,Tuvalu
Uganda,Uganda
Ukraine,Kyiv
United Arab Emirates,Abu Dhabi
United Kingdom,London
United States of America,United States of America
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Vatican City,Vatican City
Vietnam,Vietnam
Yemen,Yemen
Zimbabwe,Zimbabwe
